survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,passenger_id
0,3,male,22.0,1,0,7.25,S,Third,man,True,G,Southampton,no,False,0
1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,1
1,3,female,26.0,0,0,7.925,S,Third,woman,False,F,Southampton,yes,True,2
1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,3
0,3,male,35.0,0,0,8.05,S,Third,man,True,E,Southampton,no,True,4
0,3,male,20.0,0,0,8.4583,Q,Third,man,True,E,Queenstown,no,True,5
0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,6
0,3,male,2.0,3,1,21.075,S,Third,child,False,F,Southampton,no,False,7
1,3,female,27.0,0,2,11.1333,S,Third,woman,False,G,Southampton,yes,False,8
1,2,female,14.0,1,0,30.0708,C,Second,child,False,F,Cherbourg,yes,False,9
1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,10
1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,11
0,3,male,20.0,0,0,8.05,S,Third,man,True,E,Southampton,no,True,12
0,3,male,39.0,1,5,31.275,S,Third,man,True,F,Southampton,no,False,13
0,3,female,14.0,0,0,7.8542,S,Third,child,False,F,Southampton,no,True,14
1,2,female,55.0,0,0,16.0,S,Second,woman,False,E,Southampton,yes,True,15
0,3,male,2.0,4,1,29.125,Q,Third,child,False,F,Queenstown,no,False,16
1,2,male,27.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,17
0,3,female,31.0,1,0,18.0,S,Third,woman,False,G,Southampton,no,False,18
1,3,female,20.0,0,0,7.225,C,Third,woman,False,F,Cherbourg,yes,True,19
0,2,male,35.0,0,0,26.0,S,Second,man,True,D,Southampton,no,True,20
1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,21
1,3,female,15.0,0,0,8.0292,Q,Third,child,False,E,Queenstown,yes,True,22
1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,23
0,3,female,8.0,3,1,21.075,S,Third,child,False,F,Southampton,no,False,24
1,3,female,38.0,1,5,31.3875,S,Third,woman,False,F,Southampton,yes,False,25
0,3,male,20.0,0,0,7.225,C,Third,man,True,F,Cherbourg,no,True,26
0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,27
1,3,female,20.0,0,0,7.8792,Q,Third,woman,False,F,Queenstown,yes,True,28
0,3,male,20.0,0,0,7.8958,S,Third,man,True,F,Southampton,no,True,29
0,1,male,40.0,0,0,27.7208,C,First,man,True,C,Cherbourg,no,True,30
1,1,female,19.0,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,31
1,3,female,20.0,0,0,7.75,Q,Third,woman,False,F,Queenstown,yes,True,32
0,2,male,66.0,0,0,10.5,S,Second,man,True,F,Southampton,no,True,33
0,1,male,28.0,1,0,82.1708,C,First,man,True,B,Cherbourg,no,False,34
0,1,male,42.0,1,0,52.0,S,First,man,True,C,Southampton,no,False,35
1,3,male,20.0,0,0,7.2292,C,Third,man,True,F,Cherbourg,yes,True,36
0,3,male,21.0,0,0,8.05,S,Third,man,True,E,Southampton,no,True,37
0,3,female,18.0,2,0,18.0,S,Third,woman,False,G,Southampton,no,False,38
1,3,female,14.0,1,0,11.2417,C,Third,child,False,G,Cherbourg,yes,False,39
0,3,female,40.0,1,0,9.475,S,Third,woman,False,G,Southampton,no,False,40
0,2,female,27.0,1,0,21.0,S,Second,woman,False,F,Southampton,no,False,41
0,3,male,20.0,0,0,7.8958,C,Third,man,True,F,Cherbourg,no,True,42
1,2,female,3.0,1,2,41.5792,C,Second,child,False,F,Cherbourg,yes,False,43
1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,F,Queenstown,yes,True,44
0,3,male,20.0,0,0,8.05,S,Third,man,True,E,Southampton,no,True,45
0,3,male,20.0,1,0,15.5,Q,Third,man,True,G,Queenstown,no,False,46
1,3,female,20.0,0,0,7.75,Q,Third,woman,False,F,Queenstown,yes,True,47
0,3,male,20.0,2,0,21.6792,C,Third,man,True,F,Cherbourg,no,False,48
0,3,female,18.0,1,0,17.8,S,Third,woman,False,G,Southampton,no,False,49
0,3,male,7.0,4,1,39.6875,S,Third,child,False,F,Southampton,no,False,50
0,3,male,21.0,0,0,7.8,S,Third,man,True,F,Southampton,no,True,51
1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,52
1,2,female,29.0,1,0,26.0,S,Second,woman,False,F,Southampton,yes,False,53
0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,54
1,1,male,35.0,0,0,35.5,S,First,man,True,C,Southampton,yes,True,55
1,2,female,21.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,56
0,3,male,28.5,0,0,7.2292,C,Third,man,True,F,Cherbourg,no,True,57
1,2,female,5.0,1,2,27.75,S,Second,child,False,F,Southampton,yes,False,58
0,3,male,11.0,5,2,46.9,S,Third,child,False,F,Southampton,no,False,59
0,3,male,22.0,0,0,7.2292,C,Third,man,True,F,Cherbourg,no,True,60
1,1,female,38.0,0,0,80.0,C,First,woman,False,B,Cherbourg,yes,True,61
0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,62
0,3,male,4.0,3,2,27.9,S,Third,child,False,F,Southampton,no,False,63
0,1,male,47.0,0,0,27.7208,C,First,man,True,C,Cherbourg,no,True,64
1,3,male,16.0,1,1,15.2458,C,Third,man,True,G,Cherbourg,yes,False,65
1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,66
0,3,male,19.0,0,0,8.1583,S,Third,man,True,E,Southampton,no,True,67
1,3,female,17.0,4,2,7.925,S,Third,woman,False,G,Southampton,yes,False,68
0,3,male,26.0,2,0,8.6625,S,Third,man,True,G,Southampton,no,False,69
0,2,male,32.0,0,0,10.5,S,Second,man,True,F,Southampton,no,True,70
0,3,female,16.0,5,2,46.9,S,Third,woman,False,F,Southampton,no,False,71
0,2,male,21.0,0,0,73.5,S,Second,man,True,D,Southampton,no,True,72
0,3,male,26.0,1,0,14.4542,C,Third,man,True,G,Cherbourg,no,False,73
1,3,male,32.0,0,0,56.4958,S,Third,man,True,D,Southampton,yes,True,74
0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,75
0,3,male,20.0,0,0,7.8958,S,Third,man,True,F,Southampton,no,True,76
0,3,male,20.0,0,0,8.05,S,Third,man,True,E,Southampton,no,True,77
1,2,male,0.83,0,2,29.0,S,Second,child,False,F,Southampton,yes,False,78
1,3,female,30.0,0,0,12.475,S,Third,woman,False,E,Southampton,yes,True,79
0,3,male,22.0,0,0,9.0,S,Third,man,True,E,Southampton,no,True,80
1,3,male,29.0,0,0,9.5,S,Third,man,True,E,Southampton,yes,True,81
1,3,female,20.0,0,0,7.7875,Q,Third,woman,False,F,Queenstown,yes,True,82
0,1,male,28.0,0,0,47.1,S,First,man,True,C,Southampton,no,True,83
1,2,female,17.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,84
1,3,female,33.0,3,0,15.85,S,Third,woman,False,G,Southampton,yes,False,85
0,3,male,16.0,1,3,34.375,S,Third,man,True,F,Southampton,no,False,86
0,3,male,20.0,0,0,8.05,S,Third,man,True,E,Southampton,no,True,87
1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,88
0,3,male,24.0,0,0,8.05,S,Third,man,True,E,Southampton,no,True,89
0,3,male,29.0,0,0,8.05,S,Third,man,True,E,Southampton,no,True,90
0,3,male,20.0,0,0,7.8542,S,Third,man,True,F,Southampton,no,True,91
0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,92
0,3,male,26.0,1,2,20.575,S,Third,man,True,F,Southampton,no,False,93
0,3,male,59.0,0,0,7.25,S,Third,man,True,F,Southampton,no,True,94
0,3,male,20.0,0,0,8.05,S,Third,man,True,E,Southampton,no,True,95
0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,96
1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,97
1,2,female,34.0,0,1,23.0,S,Second,woman,False,F,Southampton,yes,False,98
0,2,male,34.0,1,0,26.0,S,Second,man,True,F,Southampton,no,False,99
0,3,female,28.0,0,0,7.8958,S,Third,woman,False,F,Southampton,no,True,100
0,3,male,20.0,0,0,7.8958,S,Third,man,True,F,Southampton,no,True,101
0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,102
0,3,male,33.0,0,0,8.6542,S,Third,man,True,E,Southampton,no,True,103
0,3,male,37.0,2,0,7.925,S,Third,man,True,G,Southampton,no,False,104
0,3,male,28.0,0,0,7.8958,S,Third,man,True,F,Southampton,no,True,105
1,3,female,21.0,0,0,7.65,S,Third,woman,False,F,Southampton,yes,True,106
1,3,male,20.0,0,0,7.775,S,Third,man,True,F,Southampton,yes,True,107
0,3,male,38.0,0,0,7.8958,S,Third,man,True,F,Southampton,no,True,108
1,3,female,20.0,1,0,24.15,Q,Third,woman,False,F,Queenstown,yes,False,109
0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,110
0,3,female,14.5,1,0,14.4542,C,Third,child,False,G,Cherbourg,no,False,111
0,3,male,22.0,0,0,8.05,S,Third,man,True,E,Southampton,no,True,112
0,3,female,20.0,1,0,9.825,S,Third,woman,False,G,Southampton,no,False,113
0,3,female,17.0,0,0,14.4583,C,Third,woman,False,E,Cherbourg,no,True,114
0,3,male,21.0,0,0,7.925,S,Third,man,True,F,Southampton,no,True,115
0,3,male,70.5,0,0,7.75,Q,Third,man,True,F,Queenstown,no,True,116
0,2,male,29.0,1,0,21.0,S,Second,man,True,F,Southampton,no,False,117
0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,118
0,3,female,2.0,4,2,31.275,S,Third,child,False,F,Southampton,no,False,119
0,2,male,21.0,2,0,73.5,S,Second,man,True,F,Southampton,no,False,120
0,3,male,20.0,0,0,8.05,S,Third,man,True,E,Southampton,no,True,121
0,2,male,32.5,1,0,30.0708,C,Second,man,True,F,Cherbourg,no,False,122
1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,123
0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,124
1,3,male,12.0,1,0,11.2417,C,Third,child,False,G,Cherbourg,yes,False,125
0,3,male,20.0,0,0,7.75,Q,Third,man,True,F,Queenstown,no,True,126
1,3,male,24.0,0,0,7.1417,S,Third,man,True,F,Southampton,yes,True,127
1,3,female,29.0,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,128
0,3,male,45.0,0,0,6.975,S,Third,man,True,F,Southampton,no,True,129
0,3,male,33.0,0,0,7.8958,C,Third,man,True,F,Cherbourg,no,True,130
0,3,male,20.0,0,0,7.05,S,Third,man,True,F,Southampton,no,True,131
0,3,female,47.0,1,0,14.5,S,Third,woman,False,G,Southampton,no,False,132
1,2,female,29.0,1,0,26.0,S,Second,woman,False,F,Southampton,yes,False,133
0,2,male,25.0,0,0,13.0,S,Second,man,True,D,Southampton,no,True,134
0,2,male,23.0,0,0,15.0458,C,Second,man,True,D,Cherbourg,no,True,135
1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,136
0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,137
0,3,male,16.0,0,0,9.2167,S,Third,man,True,E,Southampton,no,True,138
0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,139
0,3,female,29.0,0,2,15.2458,C,Third,woman,False,G,Cherbourg,no,False,140
1,3,female,22.0,0,0,7.75,S,Third,woman,False,F,Southampton,yes,True,141
1,3,female,24.0,1,0,15.85,S,Third,woman,False,G,Southampton,yes,False,142
0,3,male,19.0,0,0,6.75,Q,Third,man,True,F,Queenstown,no,True,143
0,2,male,18.0,0,0,11.5,S,Second,man,True,F,Southampton,no,True,144
0,2,male,19.0,1,1,36.75,S,Second,man,True,F,Southampton,no,False,145
1,3,male,27.0,0,0,7.7958,S,Third,man,True,F,Southampton,yes,True,146
0,3,female,9.0,2,2,34.375,S,Third,child,False,F,Southampton,no,False,147
0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,148
0,2,male,42.0,0,0,13.0,S,Second,man,True,D,Southampton,no,True,149
0,2,male,51.0,0,0,12.525,S,Second,man,True,D,Southampton,no,True,150
1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,151
0,3,male,55.5,0,0,8.05,S,Third,man,True,E,Southampton,no,True,152
0,3,male,40.5,0,2,14.5,S,Third,man,True,G,Southampton,no,False,153
0,3,male,22.0,0,0,7.3125,S,Third,man,True,F,Southampton,no,True,154
0,1,male,51.0,0,1,61.3792,C,First,man,True,C,Cherbourg,no,False,155
1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,F,Queenstown,yes,True,156
0,3,male,30.0,0,0,8.05,S,Third,man,True,E,Southampton,no,True,157
0,3,male,22.0,0,0,8.6625,S,Third,man,True,E,Southampton,no,True,158
0,3,male,40.0,8,2,69.55,S,Third,man,True,F,Southampton,no,False,159
0,3,male,44.0,0,1,16.1,S,Third,man,True,G,Southampton,no,False,160
1,2,female,40.0,0,0,15.75,S,Second,woman,False,E,Southampton,yes,True,161
0,3,male,26.0,0,0,7.775,S,Third,man,True,F,Southampton,no,True,162
0,3,male,17.0,0,0,8.6625,S,Third,man,True,E,Southampton,no,True,163
0,3,male,1.0,4,1,39.6875,S,Third,child,False,F,Southampton,no,False,164
1,3,male,9.0,0,2,20.525,S,Third,child,False,F,Southampton,yes,False,165
1,1,female,19.0,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,166
0,3,female,45.0,1,4,27.9,S,Third,woman,False,F,Southampton,no,False,167
0,1,male,47.0,0,0,25.925,S,First,man,True,C,Southampton,no,True,168
0,3,male,28.0,0,0,56.4958,S,Third,man,True,D,Southampton,no,True,169
0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,170
0,3,male,4.0,4,1,29.125,Q,Third,child,False,F,Queenstown,no,False,171
1,3,female,1.0,1,1,11.1333,S,Third,child,False,G,Southampton,yes,False,172
0,3,male,21.0,0,0,7.925,S,Third,man,True,F,Southampton,no,True,173
0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,174
0,3,male,18.0,1,1,7.8542,S,Third,man,True,G,Southampton,no,False,175
0,3,male,40.0,3,1,25.4667,S,Third,man,True,F,Southampton,no,False,176
0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,177
0,2,male,30.0,0,0,13.0,S,Second,man,True,D,Southampton,no,True,178
0,3,male,36.0,0,0,0.0,S,Third,man,True,F,Southampton,no,True,179
0,3,female,29.0,8,2,69.55,S,Third,woman,False,F,Southampton,no,False,180
0,2,male,19.0,0,0,15.05,C,Second,man,True,D,Cherbourg,no,True,181
0,3,male,9.0,4,2,31.3875,S,Third,child,False,F,Southampton,no,False,182
1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,183
1,3,female,4.0,0,2,22.025,S,Third,child,False,F,Southampton,yes,False,184
0,1,male,47.0,0,0,50.0,S,First,man,True,A,Southampton,no,True,185
1,3,female,22.0,1,0,15.5,Q,Third,woman,False,G,Queenstown,yes,False,186
1,1,male,45.0,0,0,26.55,S,First,man,True,C,Southampton,yes,True,187
0,3,male,40.0,1,1,15.5,Q,Third,man,True,G,Queenstown,no,False,188
0,3,male,36.0,0,0,7.8958,S,Third,man,True,F,Southampton,no,True,189
1,2,female,32.0,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,190
0,2,male,19.0,0,0,13.0,S,Second,man,True,D,Southampton,no,True,191
1,3,female,19.0,1,0,7.8542,S,Third,woman,False,G,Southampton,yes,False,192
1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,193
1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,194
1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,195
0,3,male,22.0,0,0,7.75,Q,Third,man,True,F,Queenstown,no,True,196
0,3,male,42.0,0,1,8.4042,S,Third,man,True,G,Southampton,no,False,197
1,3,female,22.0,0,0,7.75,Q,Third,woman,False,F,Queenstown,yes,True,198
0,2,female,24.0,0,0,13.0,S,Second,woman,False,E,Southampton,no,True,199
0,3,male,28.0,0,0,9.5,S,Third,man,True,E,Southampton,no,True,200
0,3,male,40.0,8,2,69.55,S,Third,man,True,F,Southampton,no,False,201
0,3,male,34.0,0,0,6.4958,S,Third,man,True,F,Southampton,no,True,202
0,3,male,45.5,0,0,7.225,C,Third,man,True,F,Cherbourg,no,True,203
1,3,male,18.0,0,0,8.05,S,Third,man,True,E,Southampton,yes,True,204
0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,205
0,3,male,32.0,1,0,15.85,S,Third,man,True,G,Southampton,no,False,206
1,3,male,26.0,0,0,18.7875,C,Third,man,True,D,Cherbourg,yes,True,207
1,3,female,16.0,0,0,7.75,Q,Third,woman,False,F,Queenstown,yes,True,208
1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True,209
0,3,male,24.0,0,0,7.05,S,Third,man,True,F,Southampton,no,True,210
1,2,female,35.0,0,0,21.0,S,Second,woman,False,E,Southampton,yes,True,211
0,3,male,22.0,0,0,7.25,S,Third,man,True,F,Southampton,no,True,212
0,2,male,30.0,0,0,13.0,S,Second,man,True,D,Southampton,no,True,213
0,3,male,22.0,1,0,7.75,Q,Third,man,True,G,Queenstown,no,False,214
1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,215
1,3,female,27.0,0,0,7.925,S,Third,woman,False,F,Southampton,yes,True,216
0,2,male,42.0,1,0,27.0,S,Second,man,True,F,Southampton,no,False,217
1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True,218
0,2,male,30.0,0,0,10.5,S,Second,man,True,F,Southampton,no,True,219
1,3,male,16.0,0,0,8.05,S,Third,man,True,E,Southampton,yes,True,220
0,2,male,27.0,0,0,13.0,S,Second,man,True,D,Southampton,no,True,221
0,3,male,51.0,0,0,8.05,S,Third,man,True,E,Southampton,no,True,222
0,3,male,22.0,0,0,7.8958,S,Third,man,True,F,Southampton,no,True,223
1,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False,224
0,3,male,22.0,0,0,9.35,S,Third,man,True,E,Southampton,no,True,225
1,2,male,19.0,0,0,10.5,S,Second,man,True,F,Southampton,yes,True,226
0,3,male,20.5,0,0,7.25,S,Third,man,True,F,Southampton,no,True,227
0,2,male,18.0,0,0,13.0,S,Second,man,True,D,Southampton,no,True,228
0,3,female,29.0,3,1,25.4667,S,Third,woman,False,F,Southampton,no,False,229
1,1,female,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False,230
0,3,male,29.0,0,0,7.775,S,Third,man,True,F,Southampton,no,True,231
0,2,male,59.0,0,0,13.5,S,Second,man,True,D,Southampton,no,True,232
1,3,female,5.0,4,2,31.3875,S,Third,child,False,F,Southampton,yes,False,233
0,2,male,24.0,0,0,10.5,S,Second,man,True,F,Southampton,no,True,234
0,3,female,22.0,0,0,7.55,S,Third,woman,False,F,Southampton,no,True,235
0,2,male,44.0,1,0,26.0,S,Second,man,True,F,Southampton,no,False,236
1,2,female,8.0,0,2,26.25,S,Second,child,False,F,Southampton,yes,False,237
0,2,male,19.0,0,0,10.5,S,Second,man,True,F,Southampton,no,True,238
0,2,male,33.0,0,0,12.275,S,Second,man,True,D,Southampton,no,True,239
0,3,female,22.0,1,0,14.4542,C,Third,woman,False,G,Cherbourg,no,False,240
1,3,female,22.0,1,0,15.5,Q,Third,woman,False,G,Queenstown,yes,False,241
0,2,male,29.0,0,0,10.5,S,Second,man,True,F,Southampton,no,True,242
0,3,male,22.0,0,0,7.125,S,Third,man,True,F,Southampton,no,True,243
0,3,male,30.0,0,0,7.225,C,Third,man,True,F,Cherbourg,no,True,244
0,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False,245
0,3,female,25.0,0,0,7.775,S,Third,woman,False,F,Southampton,no,True,246
1,2,female,24.0,0,2,14.5,S,Second,woman,False,G,Southampton,yes,False,247
1,1,male,37.0,1,1,52.5542,S,First,man,True,D,Southampton,yes,False,248
0,2,male,54.0,1,0,26.0,S,Second,man,True,F,Southampton,no,False,249
0,3,male,22.0,0,0,7.25,S,Third,man,True,F,Southampton,no,True,250
0,3,female,29.0,1,1,10.4625,S,Third,woman,False,G,Southampton,no,False,251
0,1,male,62.0,0,0,26.55,S,First,man,True,C,Southampton,no,True,252
0,3,male,30.0,1,0,16.1,S,Third,man,True,G,Southampton,no,False,253
0,3,female,41.0,0,2,20.2125,S,Third,woman,False,F,Southampton,no,False,254
1,3,female,29.0,0,2,15.2458,C,Third,woman,False,G,Cherbourg,yes,False,255
1,1,female,30.0,0,0,79.2,C,First,woman,False,B,Cherbourg,yes,True,256
1,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,257
1,1,female,35.0,0,0,512.3292,C,First,woman,False,B,Cherbourg,yes,True,258
1,2,female,50.0,0,1,26.0,S,Second,woman,False,F,Southampton,yes,False,259
0,3,male,22.0,0,0,7.75,Q,Third,man,True,F,Queenstown,no,True,260
1,3,male,3.0,4,2,31.3875,S,Third,child,False,F,Southampton,yes,False,261
0,1,male,52.0,1,1,79.65,S,First,man,True,E,Southampton,no,False,262
0,1,male,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True,263
0,3,female,22.0,0,0,7.75,Q,Third,woman,False,F,Queenstown,no,True,264
0,2,male,36.0,0,0,10.5,S,Second,man,True,F,Southampton,no,True,265
0,3,male,16.0,4,1,39.6875,S,Third,man,True,F,Southampton,no,False,266
1,3,male,25.0,1,0,7.775,S,Third,man,True,G,Southampton,yes,False,267
1,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False,268
1,1,female,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True,269
0,1,male,47.0,0,0,31.0,S,First,man,True,C,Southampton,no,True,270
1,3,male,25.0,0,0,0.0,S,Third,man,True,F,Southampton,yes,True,271
1,2,female,41.0,0,1,19.5,S,Second,woman,False,G,Southampton,yes,False,272
0,1,male,37.0,0,1,29.7,C,First,man,True,C,Cherbourg,no,False,273
1,3,female,22.0,0,0,7.75,Q,Third,woman,False,F,Queenstown,yes,True,274
1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False,275
0,3,female,45.0,0,0,7.75,S,Third,woman,False,F,Southampton,no,True,276
0,2,male,19.0,0,0,0.0,S,Second,man,True,F,Southampton,no,True,277
0,3,male,7.0,4,1,29.125,Q,Third,child,False,F,Queenstown,no,False,278
1,3,female,35.0,1,1,20.25,S,Third,woman,False,F,Southampton,yes,False,279
0,3,male,65.0,0,0,7.75,Q,Third,man,True,F,Queenstown,no,True,280
0,3,male,28.0,0,0,7.8542,S,Third,man,True,F,Southampton,no,True,281
0,3,male,16.0,0,0,9.5,S,Third,man,True,E,Southampton,no,True,282
1,3,male,19.0,0,0,8.05,S,Third,man,True,E,Southampton,yes,True,283
0,1,male,47.0,0,0,26.0,S,First,man,True,A,Southampton,no,True,284
0,3,male,33.0,0,0,8.6625,C,Third,man,True,E,Cherbourg,no,True,285
1,3,male,30.0,0,0,9.5,S,Third,man,True,E,Southampton,yes,True,286
0,3,male,22.0,0,0,7.8958,S,Third,man,True,F,Southampton,no,True,287
1,2,male,42.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,288
1,3,female,22.0,0,0,7.75,Q,Third,woman,False,F,Queenstown,yes,True,289
1,1,female,26.0,0,0,78.85,S,First,woman,False,D,Southampton,yes,True,290
1,1,female,19.0,1,0,91.0792,C,First,woman,False,B,Cherbourg,yes,False,291
0,2,male,36.0,0,0,12.875,C,Second,man,True,D,Cherbourg,no,True,292
0,3,female,24.0,0,0,8.85,S,Third,woman,False,E,Southampton,no,True,293
0,3,male,24.0,0,0,7.8958,S,Third,man,True,F,Southampton,no,True,294
0,1,male,47.0,0,0,27.7208,C,First,man,True,C,Cherbourg,no,True,295
